# lat	lon
21.219481	118.638702
21.224131	118.643402
21.228781	118.648003
21.233431	118.652702
21.238079	118.657303
21.242729	118.662003
21.247379	118.666603
21.252029	118.671303
21.256680	118.675903
21.261330	118.680603
21.265980	118.685204
21.270630	118.689903
21.275280	118.694504
21.279930	118.699203
21.284580	118.703796
21.289230	118.708504
21.293880	118.713097
21.298531	118.717796
21.303181	118.722397
21.307831	118.727097
21.312481	118.731697
21.317129	118.736397
21.321779	118.740997
21.326429	118.745697
21.331079	118.750298
21.335730	118.754997
21.340380	118.759598
21.345030	118.764297
21.349680	118.768898
21.354330	118.773598
21.358980	118.778198
21.363630	118.782898
21.368280	118.787498
21.372931	118.792198
21.377581	118.796799
21.382231	118.801498
21.386881	118.806099
21.391529	118.810799
21.396179	118.815399
21.400829	118.820099
21.405479	118.824699
21.410130	118.829399
21.414780	118.834000
21.419430	118.838699
21.424080	118.843300
21.428730	118.848000
21.433380	118.852600
21.438030	118.857300
21.442680	118.861900
21.447330	118.866600
21.451981	118.871201
21.456631	118.875900
21.461281	118.880501
21.465931	118.885201
21.470579	118.889801
21.475229	118.894501
21.479879	118.899101
21.484529	118.903801
21.489180	118.908401
21.493830	118.913101
21.498480	118.917702
21.503130	118.922401
21.507780	118.927002
21.512430	118.931702
21.517080	118.936302
21.521730	118.941002
21.526381	118.945602
21.531031	118.950302
21.535681	118.954903
21.540331	118.959602
21.544979	118.964203
21.549629	118.968903
21.554279	118.973503
21.558929	118.978203
21.563580	118.982803
21.568230	118.987503
21.572880	118.992104
21.577530	118.996803
21.582180	119.001404
21.586830	119.006104
21.591480	119.010696
21.596130	119.015404
21.600780	119.019997
21.605431	119.024696
21.610081	119.029297
21.614731	119.033997
21.619381	119.038597
21.624029	119.043297
21.628679	119.047897
21.633329	119.052597
21.637980	119.057198
21.642630	119.061897
21.647280	119.066498
21.651930	119.071198
21.656580	119.075798
21.661230	119.080498
21.665880	119.085098
21.670530	119.089798
21.675180	119.094398
21.679831	119.099098
21.684481	119.103699
21.689131	119.108398
21.693781	119.112999
21.698429	119.117699
21.703079	119.122299
21.707729	119.126999
21.712379	119.131599
21.717030	119.136299
21.721680	119.140900
21.726330	119.145599
21.730980	119.150200
21.735630	119.154900
21.740280	119.159500
21.744930	119.164200
21.749580	119.168800
21.754230	119.173500
21.758881	119.178101
21.763531	119.182800
21.768181	119.187401
21.772829	119.192101
21.777479	119.196701
21.782129	119.201401
21.786779	119.206001
21.791430	119.210701
21.796080	119.215302
21.800730	119.220001
21.805380	119.224602
21.810030	119.229301
21.814680	119.233902
21.819330	119.238602
21.823980	119.243202
21.828630	119.247902
21.833281	119.252502
21.837931	119.257202
21.842581	119.261803
21.847231	119.266502
21.851879	119.271103
21.856529	119.275803
21.861179	119.280403
21.865829	119.285103
21.870480	119.289703
21.875130	119.294403
21.879780	119.299004
21.884430	119.303703
21.889080	119.308296
21.893730	119.313004
21.898380	119.317596
21.903030	119.322304
21.907681	119.326897
21.912331	119.331596
21.916981	119.336197
21.921631	119.340897
21.926279	119.345497
21.930929	119.350197
21.935579	119.354797
21.940229	119.359497
21.944880	119.364098
21.949530	119.368797
21.954180	119.373398
21.958830	119.378098
21.963480	119.382698
21.968130	119.387398
21.972780	119.391998
21.977430	119.396698
21.982080	119.401299
21.986731	119.405998
21.991381	119.410599
21.996031	119.415298
22.000681	119.419899
22.005329	119.424599
22.009979	119.429199
22.014629	119.433899
22.019279	119.438499
22.023930	119.443199
22.028580	119.447800
22.033230	119.452499
22.037880	119.457100
22.042530	119.461800
22.047180	119.466400
22.051830	119.471100
22.056480	119.475700
22.061131	119.480400
22.065781	119.485001
22.070431	119.489700
22.075081	119.494301
22.079729	119.499001
22.084379	119.503601
22.089029	119.508301
22.093679	119.512901
22.098330	119.517601
22.102980	119.522202
22.107630	119.526901
22.112280	119.531502
22.116930	119.536201
22.121580	119.540802
22.126230	119.545502
22.130880	119.550102
22.135530	119.554802
22.140181	119.559402
22.144831	119.564102
22.149481	119.568703
22.154131	119.573402
22.158779	119.578003
22.163429	119.582703
22.168079	119.587303
22.172729	119.592003
22.177380	119.596603
22.182030	119.601303
22.186680	119.605904
22.191330	119.610603
22.195980	119.615196
22.200630	119.619904
22.205280	119.624496
22.209930	119.629204
22.214581	119.633797
22.219231	119.638496
22.223881	119.643097
22.228531	119.647797
22.233179	119.652397
22.237829	119.657097
22.242479	119.661697
22.247129	119.666397
22.251780	119.670998
22.256430	119.675697
22.261080	119.680298
22.265730	119.684998
22.270380	119.689598
22.275030	119.694298
22.279680	119.698898
22.284330	119.703598
22.288980	119.708199
22.293631	119.712898
22.298281	119.717499
22.302931	119.722198
22.307581	119.726799
22.312229	119.731499
22.316879	119.736099
22.321529	119.740799
22.326180	119.745399
22.330830	119.750099
22.335480	119.754700
22.340130	119.759399
22.344780	119.764000
22.349430	119.768700
22.354080	119.773300
22.358730	119.778000
22.363380	119.782600
22.368031	119.787300
22.372681	119.791901
22.377331	119.796600
22.381981	119.801201
22.386629	119.805901
22.391279	119.810501
22.395929	119.815201
22.400579	119.819801
22.405230	119.824501
22.409880	119.829102
22.414530	119.833801
22.419180	119.838402
22.423830	119.843102
22.428480	119.847702
22.433130	119.852402
22.437780	119.857002
22.442430	119.861702
22.447081	119.866302
22.451731	119.871002
22.456381	119.875603
22.461029	119.880302
22.465679	119.884903
22.470329	119.889603
22.474979	119.894203
22.479630	119.898903
22.484280	119.903503
22.488930	119.908203
22.493580	119.912804
22.498230	119.917503
22.502880	119.922096
22.507530	119.926804
22.512180	119.931396
22.516830	119.936096
22.521481	119.940697
22.526131	119.945396
22.530781	119.949997
22.535431	119.954697
22.540079	119.959297
22.544729	119.963997
22.549379	119.968597
22.554029	119.973297
22.558680	119.977898
22.563330	119.982597
22.567980	119.987198
22.572630	119.991898
22.577280	119.996498
22.581930	120.001198
22.586580	120.005798
22.591230	120.010498
22.595881	120.015099
22.600531	120.019798
22.605181	120.024399
22.609831	120.029099
22.614479	120.033699
22.619129	120.038399
22.623779	120.042999
22.628429	120.047699
22.633080	120.052299
22.637730	120.056999
22.642380	120.061600
22.647030	120.066299
22.651680	120.070900
22.656330	120.075600
22.660980	120.080200
22.665630	120.084900
22.670280	120.089500
22.674931	120.094200
22.679581	120.098801
22.684231	120.103500
22.688881	120.108101
22.693529	120.112801
22.698179	120.117401
22.702829	120.122101
22.707479	120.126701
22.712130	120.131401
22.716780	120.136002
22.721430	120.140701
22.726080	120.145302
22.730730	120.150002
22.735380	120.154602
22.740030	120.159302
22.744680	120.163902
22.749331	120.168602
22.753981	120.173203
22.758631	120.177902
22.763281	120.182503
22.767929	120.187202
22.772579	120.191803
22.777229	120.196503
22.781879	120.201103
22.786530	120.205803
22.791180	120.210403
22.795830	120.215103
22.800480	120.219704
22.805130	120.224403
22.809780	120.228996
22.814430	120.233704
22.819080	120.238297
22.823730	120.242996
22.828381	120.247597
22.833031	120.252296
22.837681	120.256897
22.842331	120.261597
22.846979	120.266197
22.851629	120.270897
22.856279	120.275497
22.860929	120.280197
22.865580	120.284798
22.870230	120.289497
22.874880	120.294098
22.879530	120.298798
22.884180	120.303398
22.888830	120.308098
22.893480	120.312698
22.898130	120.317398
22.902781	120.321999
22.907431	120.326698
22.912081	120.331299
22.916731	120.335999
22.921379	120.340599
22.926029	120.345299
22.930679	120.349899
22.935329	120.354599
22.939980	120.359200
22.944630	120.363899
22.949280	120.368500
22.953930	120.373199
22.958580	120.377800
22.963230	120.382500
22.967880	120.387100
22.972530	120.391800
22.977180	120.396400
22.981831	120.401100
22.986481	120.405701
22.991131	120.410400
22.995781	120.415001
23.000429	120.419701
23.005079	120.424301
23.009729	120.429001
23.014380	120.433601
23.019030	120.438301
23.023680	120.442902
23.028330	120.447601
23.032980	120.452202
23.037630	120.456902
23.042280	120.461502
23.046930	120.466202
23.051580	120.470802
23.056231	120.475502
23.060881	120.480103
23.065531	120.484802
23.070181	120.489403
23.074829	120.494102
23.079479	120.498703
23.084129	120.503403
23.088779	120.508003
23.093430	120.512703
23.098080	120.517303
23.102730	120.522003
23.107380	120.526604
23.112030	120.531303
23.116680	120.535896
23.121330	120.540604
23.125980	120.545197
23.130630	120.549896
23.135281	120.554497
23.139931	120.559196
23.144581	120.563797
23.149229	120.568497
23.153879	120.573097
23.158529	120.577797
23.163179	120.582397
23.167830	120.587097
23.172480	120.591698
23.177130	120.596397
23.181780	120.600998
23.186430	120.605698
23.191080	120.610298
23.195730	120.614998
23.200380	120.619598
23.205030	120.624298
23.209681	120.628899
23.214331	120.633598
23.218981	120.638199
23.223631	120.642899
23.228279	120.647499
23.232929	120.652199
23.237579	120.656799
23.242229	120.661499
23.246880	120.666100
23.251530	120.670799
23.256180	120.675400
23.260830	120.680099
23.265480	120.684700
23.270130	120.689400
23.274780	120.694000
23.279430	120.698700
23.284081	120.703300
23.288731	120.708000
23.293381	120.712601
23.298031	120.717300
23.302679	120.721901
23.307329	120.726601
23.311979	120.731201
23.316629	120.735901
23.321280	120.740501
23.325930	120.745201
23.330580	120.749802
23.335230	120.754501
23.339880	120.759102
23.344530	120.763802
23.349180	120.768402
23.353830	120.773102
23.358480	120.777702
23.363131	120.782402
23.367781	120.787003
23.372431	120.791702
23.377081	120.796303
23.381729	120.801003
23.386379	120.805603
23.391029	120.810303
23.395679	120.814903
23.400330	120.819603
23.404980	120.824203
23.409630	120.828903
23.414280	120.833504
23.418930	120.838203
23.423580	120.842796
23.428230	120.847504
23.432880	120.852097
23.437531	120.856796
23.442181	120.861397
23.446831	120.866096
23.451481	120.870697
23.456129	120.875397
23.460779	120.879997
23.465429	120.884697
23.470079	120.889297
23.474730	120.893997
23.479380	120.898598
23.484030	120.903297
23.488680	120.907898
23.493330	120.912598
23.497980	120.917198
23.502630	120.921898
23.507280	120.926498
23.511930	120.931198
23.516581	120.935799
23.521231	120.940498
23.525881	120.945099
23.530531	120.949799
23.535179	120.954399
23.539829	120.959099
23.544479	120.963699
23.549129	120.968399
23.553780	120.973000
23.558430	120.977699
23.563080	120.982300
23.567730	120.987000
23.572380	120.991600
23.577030	120.996300
23.581680	121.000900
23.586330	121.005600
23.590981	121.010201
23.595631	121.014900
23.600281	121.019501
23.604931	121.024200
23.609579	121.028801
23.614229	121.033501
23.618879	121.038101
23.623529	121.042801
23.628180	121.047401
23.632830	121.052101
23.637480	121.056702
23.642130	121.061401
23.646780	121.066002
23.651430	121.070702
23.656080	121.075302
23.660730	121.080002
23.665380	121.084602
23.670031	121.089302
23.674681	121.093903
23.679331	121.098602
23.683981	121.103203
23.688629	121.107903
23.693279	121.112503
23.697929	121.117203
23.702579	121.121803
23.707230	121.126503
23.711880	121.131104
23.716530	121.135803
